id,keyword,location,text
0,fire,,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…"
1,fire,,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…"
2,fire,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI
3,fire,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9
4,fire,,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8"
5,fire,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…"
6,fire,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2"
7,fire,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…
8,fire,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj"
9,fire,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX
10,fire,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…
11,fire,,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…
12,fire,,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…
13,fire,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…
14,fire,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD"
15,fire,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D
16,fire,,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz
17,fire,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0
18,fire,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp
19,fire,,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…
20,fire,,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…
21,fire,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…
22,fire,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36"
23,fire,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…"
24,fire,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL
25,fire,,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…
26,fire,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…"
27,fire,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…"
28,fire,,that is kind true sadly
29,fire,,I swear that jam will set the world ablaze
30,fire,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…"
31,fire,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK"
32,fire,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K
33,fire,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb"
67,earthquake,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me
68,earthquake,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf
69,earthquake,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…"
70,earthquake,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM
71,earthquake,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…
72,earthquake,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio
73,earthquake,"Bay Area, CA",Come with us to Aftershock!
74,earthquake,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock
75,earthquake,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…
76,earthquake,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…"
